Id;Designator;Footprint;Quantity;Designation;Supplier and ref;;Added;Have;Other list
1;J6,J5;HolePad_2.5mm_3.5mm;2;GND_BRIDGE;;;;v;
2;R11;R_0612_1632Metric;1;10mΩ 1.5W;;;v;;
3;Q5;PowerPAK_SO-8L_Single_Improved;1;SQJ868EP;;;v;;
4;C16,C17,C4,C10,C9,C8,C18;C_0603_1608Metric;7;0.1µF;;;;v;
5;C15;C_1210_3225Metric;1;22µF 25V x2;;;v;;
6;C14;C_0603_1608Metric;1;47nF;;;;v;
7;C3;C_0603_1608Metric;1;2.2nF;;;;v;
8;C13,C1;C_0603_1608Metric;2;10nF;;;;v;
9;C12;C_0603_1608Metric;1;1µF;;;;v;
10;C2,C5;C_0805_2012Metric;2;1µF 50Vl;;;;v;
11;C6,C7;C_1210_3225Metric;2;10µF 35Vl x2;;;v;;
12;C11;C_0805_2012Metric;1;2.2µF 50V;;;v;;
13;D3;D_SOD-123F;1;SL1M;;;v;;
14;D2;D_SOD-323_HandSoldering;1;SS0840WS;;;;v;
15;D1;SOT-23;1;BAS40-05;;;v;;
16;J3;TE_2042274_Solder;1;BAT;;;v;;
17;J1;TE_2042274_Solder;1;SYS;;;v;;
18;J2;Molex_Mini-Fit_Max_2P_V_215915-1002;1;ADAPTER;;;v;;
19;J4;Amphenol_MINITEK_WTB_1.25_5P;1;SMBus+STATUS;;;;v;
20;L1;L_Eaton_EXL1V0703;1;3.3µH;;;v;;
21;Q1,Q2;PowerPAK_SO-8_Single;2;SiR638DP;;;v;;
22;Q3;PowerPAK_SO-8_Single;1;SiR500DP;;;v;;
23;Q4;Infineon_PG-TDSON-8FL_6.15x5.15mm;1;BSC059N04LS6;;;v;;
24;R2;R_0612_1632Metric;1;4mΩ 2W;;;v;;
25;R6;R_0603_1608Metric;1;287kΩ;;;v;;
26;R9;R_0603_1608Metric;1;40.2kΩ;;;v;;
27;R8;R_0603_1608Metric;1;432kΩ;;;v;;
28;R5,R7,R4;R_0603_1608Metric;3;4.02kΩ;;;v;;
29;R1;R_0603_1608Metric;1;10Ω;;;;v;
30;R3;R_0508_1220Metric;1;2Ω 1W;;;v;;
31;R13;R_0603_1608Metric;1;10kΩ;;;;v;
32;R10;R_0603_1608Metric;1;82kΩ;;;;v;
33;R12;R_0603_1608Metric;1;47kΩ;;;v;;
34;U1;VQFN-20-1EP_3.5x3.5mm_P0.5mm_EP2.05x2.05mm;1;BQ24735;;;v;;
35;U2;SOT-23;1;NCP51460;;;v;;
