Id;Designator;Footprint;Quantity;Designation;Supplier and ref;;Added;Have;Other list
1;C44,C38,C48,C33;C_0603_1608Metric;4;1nF C0G;;;v(1n);v(1.5n,220p,330p);
2;R18,R19,R26,R27;R_0805_2012Metric;4;4.7kΩRS;;;;v;
3;R9,R7;R_0603_1608Metric;2;3.12kΩLN;;;;v;
4;R22,R30,R15,R23;R_0805_2012Metric;4;22kΩRS;;;v;;
5;U2;QFN-32-1EP_5x5mm_P0.5mm_EP3.2x3.2mm;1;ES9039Q2M;;;v;;
6;J6;Amphenol_MINITEK_WTB_1.25_5P_V;1;I2C;;;v;;
7;C47,C36,C45,C34;C_0603_1608Metric;4;10nF C0G;;;v(10+3.3);v!;
8;C35,C46;C_0603_1608Metric;2;33pF C0G;;;;v;
9;C12,C28;CP_Radial_D6.3mm_P2.50mm;2;100µF 10V;;;v;;
10;R20,R28,R17,R25;R_0805_2012Metric;4;100ΩRS;;;;v!;
11;U7,U6;WSON-8-1EP_3x3mm_P0.5mm_EP1.2x2mm;2;OPA1612;;;v;;
12;C4,C3,C5,C6,C24,C19,C2;C_0603_1608Metric;7;1µF 25V;;;v;v!;
13;R24,R16,R29,R21;R_0805_2012Metric;4;3.3kΩRS;;;v(3.3+1.5);;
14;R4,R5;R_0603_1608Metric;2;27Ω;;;;v;
15;J7;Amphenol_MINITEK_WTB_1.25_4P_V;1;PWR;;;v;;
16;C15,C20,C10,C11,C25,C7,C29;C_0603_1608Metric;7;0.1µF;;;;v;
17;C43,C41,C37,C40;C_0704_1810Metric;4;0.1µF C0G;;;;v;
18;C18,C23;CP_Radial_D5.0mm_P2.00mm;2;220µF 6.3V;;;v;;
19;C22,C16,C17,C21;C_0805_2012Metric;4;10µF 50Vs;;;v;v!;
20;R1;R_0603_1608Metric;1;2.2Ω;;;v;;
21;C1,C26,C27,C30,C31;C_0805_2012Metric;5;10µF 25V;;;;v;
22;J4;Amphenol_MINITEK_0.8_2P_V;1;DIFF_2;;;;v;
23;R8,R10;R_0603_1608Metric;2;1kΩLN;;;;v;
24;J3;Amphenol_MINITEK_0.8_2P_V;1;DIFF_1;;;;v;
25;J1;Amphenol_MINITEK_0.8_4P_V;1;SE;;;;v;
26;J5;PinSocket_1x05_P1.27mm_Vertical_SMD_Pin1Right;1;SWD;;;v(+pins);;
27;R3;R_0603_1608Metric;1;10Ω;;;;v;
28;J2;Amphenol_MINITEK_WTB_1.25_5P_V;1;I2S;;;v;;
29;U4;QFN-20-1EP_4x4mm_P0.5mm_EP2.7x2.7mm;1;TPS7A87;;;v;;
30;C39,C42;C_1206_3216Metric;2;10µF 50V;;;;v;
31;TP4;TP_0603_1608Metric_Fused;1;DEBUG_UART_RX;;;;v;
32;C14,C13;CP_Elec_6.3x5.9;2;100µF 25V;;;v;;
33;C8;C_0603_1608Metric;1;10nF;;;;v;
34;U3;QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm;1;STM32C031K6Ux;;;v;;
35;TP3;TP_0603_1608Metric_Fused;1;I2C_SDA;;;;v;
36;U1;Oscillator_SMD_Kyocera_KC2520Z-4Pin_2.5x2.0mm;1;KC2520K24.5760;;;v;;
37;R11,R13;R_0603_1608Metric;2;49.9kΩ;;;v;;
38;R2;R_0603_1608Metric;1;0Ω;;;;v;
39;C32;CP_Elec_6.3x7.7;1;100µF 10V 450mΩ;;;v;;
40;TP5;TP_0603_1608Metric_Fused;1;I2C_SCL;;;;v;
41;R12,R14,R6;R_0603_1608Metric;3;10kΩ;;;;v;
42;U5;WSON-10-1EP_2x2mm_P0.4mm_EP0.9x1.5mm;1;TLV75101;;;v;;
43;TP1;TP_0603_1608Metric_Fused;1;DEBUG_UART_TX;;;;v;
44;FB1;L_0603_1608Metric;1;MPZ1608B471ATA00;;;;v;
45;TP2;TP_0603_1608Metric_Fused;1;I2C_~{INT};;;;v;
46;C9;C_0603_1608Metric;1;4.7µF;;;;v;
47;TP9;TP_0603_1608Metric_Fused;1;MISO;;;;v;
48;TP8;TP_0603_1608Metric_Fused;1;SS;;;;v;
49;TP7;TP_0603_1608Metric_Fused;1;MOSI;;;;v;
50;TP6;TP_0603_1608Metric_Fused;1;SCLK;;;;v;
