"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"TP9";"TP_0603_1608Metric_Fused";1;"MISO";;;
2;"TP8";"TP_0603_1608Metric_Fused";1;"SS";;;
3;"TP7";"TP_0603_1608Metric_Fused";1;"MOSI";;;
4;"TP6";"TP_0603_1608Metric_Fused";1;"SCLK";;;
5;"C44,C38,C48,C33";"C_0603_1608Metric";4;"1nF C0G";;;
6;"R18,R19,R26,R27";"R_0805_2012Metric";4;"4.7kΩRS";;;
7;"R9,R7";"R_0603_1608Metric";2;"3.12kΩLN";;;
8;"R22,R30,R15,R23";"R_0805_2012Metric";4;"22kΩRS";;;
9;"U2";"QFN-32-1EP_5x5mm_P0.5mm_EP3.2x3.2mm";1;"ES9039Q2M";;;
10;"J6";"Amphenol_MINITEK_WTB_1.25_5P_V";1;"I2C";;;
11;"C47,C36,C45,C34";"C_0603_1608Metric";4;"10nF C0G";;;
12;"C35,C46";"C_0603_1608Metric";2;"33pF C0G";;;
13;"C12,C28";"CP_Radial_D6.3mm_P2.50mm";2;"100µF 10V";;;
14;"R20,R28,R17,R25";"R_0805_2012Metric";4;"100ΩRS";;;
15;"U7,U6";"WSON-8-1EP_3x3mm_P0.5mm_EP1.2x2mm";2;"OPA1612";;;
16;"C4,C3,C5,C6,C24,C19,C2";"C_0603_1608Metric";7;"1µF 25V";;;
17;"R24,R16,R29,R21";"R_0805_2012Metric";4;"3.3kΩRS";;;
18;"R4,R5";"R_0603_1608Metric";2;"27Ω";;;
19;"J7";"Amphenol_MINITEK_WTB_1.25_4P_V";1;"PWR";;;
20;"C15,C20,C10,C11,C25,C7,C29";"C_0603_1608Metric";7;"0.1µF";;;
21;"C43,C41,C37,C40";"C_0704_1810Metric";4;"0.1µF C0G";;;
22;"C18,C23";"CP_Radial_D5.0mm_P2.00mm";2;"220µF 6.3V";;;
23;"C22,C16,C17,C21";"C_0805_2012Metric";4;"10µF 50Vs";;;
24;"R1";"R_0603_1608Metric";1;"2.2Ω";;;
25;"C1,C26,C27,C30,C31";"C_0805_2012Metric";5;"10µF 25V";;;
26;"J4";"Amphenol_MINITEK_0.8_2P_V";1;"DIFF_2";;;
27;"R8,R10";"R_0603_1608Metric";2;"1kΩLN";;;
28;"J3";"Amphenol_MINITEK_0.8_2P_V";1;"DIFF_1";;;
29;"J1";"Amphenol_MINITEK_0.8_4P_V";1;"SE";;;
30;"J5";"PinSocket_1x05_P1.27mm_Vertical_SMD_Pin1Right";1;"SWD";;;
31;"R3";"R_0603_1608Metric";1;"10Ω";;;
32;"J2";"Amphenol_MINITEK_WTB_1.25_5P_V";1;"I2S";;;
33;"U4";"QFN-20-1EP_4x4mm_P0.5mm_EP2.7x2.7mm";1;"TPS7A87";;;
34;"C39,C42";"C_1206_3216Metric";2;"10µF 50V";;;
35;"TP4";"TP_0603_1608Metric_Fused";1;"DEBUG_UART_RX";;;
36;"C14,C13";"CP_Elec_6.3x5.9";2;"100µF 25V";;;
37;"C8";"C_0603_1608Metric";1;"10nF";;;
38;"U3";"QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm";1;"STM32C031K6Ux";;;
39;"TP3";"TP_0603_1608Metric_Fused";1;"I2C_SDA";;;
40;"U1";"Oscillator_SMD_Kyocera_KC2520Z-4Pin_2.5x2.0mm";1;"KC2520K24.5760";;;
41;"R11,R13";"R_0603_1608Metric";2;"49.9kΩ";;;
42;"R2";"R_0603_1608Metric";1;"0Ω";;;
43;"C32";"CP_Elec_6.3x7.7";1;"100µF 10V 450mΩ";;;
44;"TP5";"TP_0603_1608Metric_Fused";1;"I2C_SCL";;;
45;"R12,R14,R6";"R_0603_1608Metric";3;"10kΩ";;;
46;"U5";"WSON-10-1EP_2x2mm_P0.4mm_EP0.9x1.5mm";1;"TLV75101";;;
47;"TP1";"TP_0603_1608Metric_Fused";1;"DEBUG_UART_TX";;;
48;"FB1";"L_0603_1608Metric";1;"MPZ1608B471ATA00";;;
49;"TP2";"TP_0603_1608Metric_Fused";1;"I2C_~{INT}";;;
50;"C9";"C_0603_1608Metric";1;"4.7µF";;;
