"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R18";"R_0603_1608Metric";1;"110kΩ";;;
2;"R10,R9";"R_1206_3216Metric";2;"?Ω";;;
3;"R5,R3,R22,R21";"R_0603_1608Metric";4;"0Ω";;;
4;"R6,R31,R20";"R_0603_1608Metric";3;"10kΩ";;;
5;"C16";"C_0603_1608Metric";1;"0.47µF";;;
6;"R30";"R_0603_1608Metric";1;"100kΩ";;;
7;"C2";"C_0603_1608Metric";1;"0pF";;;
8;"REF**";"Heatspreader_PowerAmpSupply";1;"Heatspreader_PowerAmpSupply";;;
9;"U1";"VQFN-20-1EP_3.5x3.5mm_P0.5mm_EP2.05x2.05mm";1;"LM5123-Q1";;;
10;"TH1";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"10kΩ 4250B";;;
11;"R24";"R_0603_1608Metric";1;"330kΩ";;;
12;"J2,J1";"HolePad_2.5mm_3.5mm";2;"VIN_BRIDGE";;;
13;"Q1,Q3";"EPC2306";2;"EPC2306";;;
14;"C3,C13,C38,C5";"C_0603_1608Metric";4;"0.1µF 100V";;;
15;"M1";"Amphenol_MINITEK_0.8_2P_V_BoardEdge";1;"12V 6Vstart <100mA";;;
16;"R11";"R_0603_1608Metric";1;"220kΩ";;;
17;"C19";"C_0603_1608Metric";1;"1.5nF";;;
18;"R28";"R_0603_1608Metric";1;"22Ω";;;
19;"R12";"R_0603_1608Metric";1;"33kΩ";;;
20;"R1,R2";"R_0612_1632Metric";2;"3mΩ 2W";;;
21;"R23";"R_0603_1608Metric";1;"100Ω";;;
22;"C40,C4,C42,C1,C44";"C_0603_1608Metric";5;"0.1µF";;;
23;"R14";"R_0603_1608Metric";1;"13.3kΩ";;;
24;"J6";"TE_644749-2";1;"VOUT";;;
25;"C15";"C_0603_1608Metric";1;"470pF";;;
26;"J7";"PinHeader_1x01_P2.54mm_Vertical";1;"VTRK_EXT";;;
27;"R8,R7";"R_0603_1608Metric";2;"3.3Ω";;;
28;"C47";"C_0603_1608Metric";1;"1µF";;;
29;"C37";"C_1206_3216Metric";1;"2.2µF 100Vl";;;
30;"C28,C26,C27";"CP_Radial_D16.0mm_P7.50mm";3;"1mF 80V";;;
31;"C12,C46,C14";"C_0603_1608Metric";3;"4.7µF";;;
32;"FB1,FB2";"L_0402_1005Metric_Pad0.77x0.64mm_HandSolder";2;"Shunt?";;;
33;"C7";"CP_Radial_D10.0mm_P5.00mm";1;"1mF 35V";;;
34;"C39,C41";"C_1206_3216Metric";2;"10µF 50V";;;
35;"HS";"ATS-xPX035035035_NoMounts";1;"ATS-xPX035035035_NoMounts";;;
36;"Q4,Q2";"HUSON-3-1EP_2x2mm_P1.3mm_EP1.1x1.6mm";2;"PNP";;;
37;"J5";"TE_2042274_Solder";1;"VIN";;;
38;"L1";"L_Vishay_IHLP-6767";1;"1.5µH";;;
39;"R4";"R_0603_1608Metric";1;"76.8kΩ";;;
40;"D2";"LED_0805_2012Metric";1;"PGOOD";;;
41;"U4";"TI_QFN-FCMOD-HR";1;"TPSM365R3";;;
42;"Q6";"SOT-563";1;"CMLDM7002AJ";;;
43;"C35";"C_0603_1608Metric";1;"22pF";;;
44;"D1";"TO-277B";1;"MBR12U100L";;;
45;"R13";"R_0603_1608Metric";1;"21kΩ";;;
46;"D5";"D_SOD-123";1;"BZT52C12";;;
47;"J3,J4";"HolePad_2.5mm_3.5mm";2;"GND_BRIDGE";;;
48;"D3,D4";"D_SOD-123";2;"BZT52C10";;;
49;"C17";"C_0603_1608Metric";1;"33pF";;;
50;"C18";"C_0603_1608Metric";1;"?pF 100+V";;;
51;"C6";"C_0805_2012Metric";1;"2.2µF 100V";;;
52;"R34,R33,R32";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";3;"50Ω";;;
53;"J8";"TE_CONMHF1-SMD";1;"LO";;;
54;"C33,C23,C29,C24,C34,C30,C25,C22,C31,C21,C32,C20";"C_1210_3225Metric";12;"10µF 100V x2";;;
55;"C45";"C_1210_3225Metric";1;"10µF 75V x2";;;
56;"J10";"TE_CONMHF1-SMD";1;"SW";;;
57;"J9";"TE_CONMHF1-SMD";1;"HO";;;
58;"L2";"L_Pulse_PG2110HLT";1;"100nH";;;
59;"C9,C8";"C_1210_3225Metric";2;"22µF 25V";;;
60;"D6";"D_SOD-323_HandSoldering";1;"SS0840WS";;;
61;"R29";"R_0603_1608Metric";1;"2kΩ";;;
62;"Logo";"BW_Logo_7.5x4.8mm";1;"BW_Logo_7.5x4.8mm";;;
63;"C10,C11,C43";"C_0805_2012Metric";3;"1µF 50Vl";;;
64;"U5";"MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm";1;"LTC3290";;;
65;"R15";"R_0603_1608Metric";1;"84.5kΩ 0.1%";;;
66;"R16";"R_0603_1608Metric";1;"42.2kΩ 0.1%";;;
67;"R27";"R_0603_1608Metric";1;"1MΩ";;;
68;"U3";"SOT-23-5";1;"TPS7A2401";;;
69;"F1";"Fuse_Schurter_MSB";1;"6.3A";;;
70;"U2";"SOT-23";1;"NCP51460";;;
71;"Q5";"PowerPAK_SO-8_Single";1;"SiR500DP";;;
72;"R17";"R_0603_1608Metric";1;"10.5kΩ 0.1%";;;
73;"R25";"R_0603_1608Metric";1;"13kΩ";;;
74;"C36";"C_0805_2012Metric";1;"10µF 25V";;;
75;"R26";"R_0603_1608Metric";1;"7.5kΩ";;;
76;"R19";"R_0603_1608Metric";1;"23.2kΩ";;;
